estacion_id,nombre,linea,cve_est,lat,lon
1,Pantitlán,01,STC0101,19.416334,-99.074736
2,Zaragoza,01,STC0102,19.41192,-99.082289
3,Gómez Farías,01,STC0103,19.416478,-99.09021
4,Boulevard Puerto Aéreo,01,STC0104,19.419942,-99.096259
5,Balbuena,01,STC0105,19.423355,-99.102774
6,Moctezuma,01,STC0106,19.426854,-99.109799
7,San Lázaro,01,STC0107,19.430059,-99.114261
8,Candelaria,01,STC0108,19.42954,-99.12091
9,Merced,01,STC0109,19.425488,-99.125025
10,Pino Suárez,01,STC0110,19.425923,-99.132639
11,Isabel la Católica,01,STC0111,19.426394,-99.13783
12,Salto del Agua,01,STC0112,19.426948,-99.143406
13,Balderas,01,STC0113,19.426998,-99.149481
14,Cuauhtémoc,01,STC0114,19.425661,-99.154598
15,Insurgentes,01,STC0115,19.423652,-99.163289
16,Sevilla,01,STC0116,19.42185,-99.171119
17,Chapultepec,01,STC0117,19.420746,-99.176417
18,Juanacatlán,01,STC0118,19.412952,-99.181984
19,Tacubaya,01,STC0119,19.402514,-99.187637
20,Observatorio,01,STC0120,19.398282,-99.200405
21,Cuatro Caminos,02,STC0201,19.459593,-99.215842
22,Panteones,02,STC0202,19.458639,-99.202949
23,Tacuba,02,STC0203,19.459376,-99.188231
24,Cuitláhuac,02,STC0204,19.457254,-99.181496
25,Popotla,02,STC0205,19.452909,-99.175494
26,Colegio Militar,02,STC0206,19.449274,-99.171779
27,Normal,02,STC0207,19.444558,-99.167274
28,San Cosme,02,STC0208,19.441904,-99.160662
29,Revolución,02,STC0209,19.439227,-99.154228
30,Hidalgo,02,STC0210,19.437547,-99.147223
31,Bellas Artes,02,STC0211,19.436378,-99.141614
32,Allende,02,STC0212,19.435558,-99.136868
33,Zócalo/Tenochtitlán,02,STC0213,19.432502,-99.132251
34,Pino Suárez,02,STC0214,19.424385,-99.132942
35,San Antonio Abad,02,STC0215,19.416022,-99.13454
36,Chabacano,02,STC0216,19.40918,-99.135618
37,Viaducto,02,STC0217,19.400869,-99.1369
38,Xola,02,STC0218,19.395211,-99.137808
39,Villa de Cortés,02,STC0219,19.387582,-99.138959
40,Nativitas,02,STC0220,19.379533,-99.140188
41,Portales,02,STC0221,19.369925,-99.141574
42,Ermita,02,STC0222,19.361979,-99.142904
43,General Anaya,02,STC0223,19.353236,-99.145006
44,Tasqueña,02,STC0224,19.343757,-99.139533
45,Indios Verdes,03,STC0301,19.495338,-99.11951
46,Deportivo 18 de Marzo,03,STC0302,19.485114,-99.125498
47,Potrero,03,STC0303,19.477192,-99.132014
48,La Raza,03,STC0304,19.46888,-99.139506
49,Tlatelolco,03,STC0305,19.455058,-99.143133
50,Guerrero,03,STC0306,19.444726,-99.145193
51,Hidalgo,03,STC0307,19.437382,-99.146783
52,Juárez,03,STC0308,19.43325,-99.147683
53,Balderas,03,STC0309,19.42648,-99.14906
54,Niños Héroes/Poder Judicial CDMX,03,STC0310,19.419484,-99.150364
55,Hospital General,03,STC0311,19.413759,-99.153245
56,Centro Médico,03,STC0312,19.407453,-99.155135
57,Etiopía/Plaza de la Transparencia,03,STC0313,19.395921,-99.156031
58,Eugenia,03,STC0314,19.386169,-99.157205
59,División del Norte,03,STC0315,19.379184,-99.159479
60,Zapata,03,STC0316,19.371192,-99.16451
61,Coyoacán,03,STC0317,19.361359,-99.170862
62,Viveros/Derechos Humanos,03,STC0318,19.353459,-99.176001
63,Miguel Ángel de Quevedo,03,STC0319,19.346252,-99.180757
64,Copilco,03,STC0320,19.336099,-99.176974
65,Universidad,03,STC0321,19.324353,-99.173938
66,Santa Anita,04,STC0401,19.402892,-99.121696
67,Jamaica,04,STC0402,19.410915,-99.121744
68,Fray Servando,04,STC0403,19.42159,-99.120533
69,Candelaria,04,STC0404,19.428764,-99.119426
70,Morelos,04,STC0405,19.439664,-99.118152
71,Canal del Norte,04,STC0406,19.448945,-99.116133
72,Consulado,04,STC0407,19.458018,-99.113904
73,Bondojito,04,STC0408,19.464631,-99.111977
74,Talismán,04,STC0409,19.474358,-99.108012
75,Martín Carrera,04,STC0410,19.485044,-99.104369
76,Politécnico,05,STC0501,19.500679,-99.149206
77,Instituto del Petróleo,05,STC0502,19.489339,-99.14471
78,Autobuses del Norte,05,STC0503,19.479071,-99.140651
79,La Raza,05,STC0504,19.469666,-99.136516
80,Misterios,05,STC0505,19.463112,-99.13024
81,Valle Gómez,05,STC0506,19.458872,-99.119491
82,Consulado,05,STC0507,19.455136,-99.113536
83,Eduardo Molina,05,STC0508,19.451398,-99.1053
84,Aragón,05,STC0509,19.451258,-99.096205
85,Oceania,05,STC0510,19.44502,-99.086873
86,Terminal Aérea,05,STC0511,19.434265,-99.088076
87,Hangares,05,STC0512,19.42435,-99.088134
88,Pantitlán,05,STC0513,19.415105,-99.074329
89,El Rosario,06,STC0601,19.50463,-99.19977
90,Tezozómoc,06,STC0602,19.494895,-99.196023
91,UAM Azcapotzalco,06,STC0603,19.490908,-99.186267
92,Ferrería/Arena Ciudad de México,06,STC0604,19.490673,-99.174152
93,Norte 45,06,STC0605,19.488671,-99.16299
94,Vallejo,06,STC0606,19.489848,-99.156004
95,Instituto del Petróleo,06,STC0607,19.491044,-99.148126
96,Lindavista,06,STC0608,19.488113,-99.135071
97,Deportivo 18 de Marzo,06,STC0609,19.483482,-99.125304
98,La Villa/Basílica,06,STC0610,19.481736,-99.118369
99,Martín Carrera,06,STC0611,19.482939,-99.107475
100,El Rosario,07,STC0701,19.504738,-99.200116
101,Aquiles Serdán,07,STC0702,19.49064,-99.195352
102,Camarones,07,STC0703,19.479112,-99.190038
103,Refinería,07,STC0704,19.469473,-99.190506
104,Tacuba,07,STC0705,19.458235,-99.187169
105,San Joaquín,07,STC0706,19.445008,-99.191767
106,Polanco,07,STC0707,19.433553,-99.190925
107,Auditorio,07,STC0708,19.425764,-99.192029
108,Constituyentes,07,STC0709,19.411771,-99.191352
109,Tacubaya,07,STC0710,19.40219,-99.186754
110,San Pedro de los Pinos,07,STC0711,19.391492,-99.185806
111,San Antonio,07,STC0712,19.384338,-99.186614
112,Mixcoac,07,STC0713,19.376257,-99.187582
113,Barranca del Muerto,07,STC0714,19.361502,-99.189264
114,Garibaldi/Lagunilla,08,STC0801,19.444001,-99.139004
115,Bellas Artes,08,STC0802,19.437013,-99.140421
116,San Juan de Letrán,08,STC0803,19.43158,-99.141251
117,Salto del Agua,08,STC0804,19.427718,-99.141852
118,Doctores,08,STC0805,19.421546,-99.143189
119,Obrera,08,STC0806,19.41324,-99.144038
120,Chabacano,08,STC0807,19.410207,-99.133751
121,La Viga,08,STC0808,19.406709,-99.126269
122,Santa Anita,08,STC0809,19.404123,-99.120657
123,Coyuya,08,STC0810,19.398303,-99.11348
124,Iztacalco,08,STC0811,19.388289,-99.112112
125,Apatlaco,08,STC0812,19.3791,-99.10949
126,Aculco,08,STC0813,19.373211,-99.107704
127,Escuadrón 201,08,STC0814,19.364836,-99.109485
128,Atlalilco,08,STC0815,19.356084,-99.101309
129,Iztapalapa,08,STC0816,19.357825,-99.093449
130,Cerro de la Estrella,08,STC0817,19.356048,-99.085616
131,UAM-I,08,STC0818,19.351056,-99.074817
132,Constitución de 1917,08,STC0819,19.345968,-99.063799
133,Pantitlán,09,STC0901,19.415351,-99.072205
134,Puebla,09,STC0902,19.407192,-99.082386
135,Ciudad Deportiva,09,STC0903,19.408434,-99.091252
136,Velódromo,09,STC0904,19.408539,-99.103158
137,Mixiuhca,09,STC0905,19.408371,-99.112968
138,Jamaica,09,STC0906,19.409103,-99.12235
139,Chabacano,09,STC0907,19.408515,-99.133973
140,Lázaro Cárdenas,09,STC0908,19.407218,-99.144628
141,Centro Médico,09,STC0909,19.406561,-99.156028
142,Chilpancingo,09,STC0910,19.40593,-99.168519
143,Patriotismo,09,STC0911,19.406109,-99.178923
144,Tacubaya,09,STC0912,19.401461,-99.187761
145,Tláloc,12,STC1201,19.286022,-99.014198
146,Tlaltenco,12,STC1202,19.294353,-99.024031
147,Zapotitlán,12,STC1203,19.296656,-99.034307
148,Nopalera,12,STC1204,19.299957,-99.045993
149,Olivos,12,STC1205,19.304322,-99.059511
150,Tezonco,12,STC1206,19.306309,-99.06527
151,Periférico Oriente,12,STC1207,19.317612,-99.074506
152,Calle 11,12,STC1208,19.320471,-99.085873
153,Lomas Estrella,12,STC1209,19.322149,-99.09575
154,San Andrés Tomatlán,12,STC1210,19.328145,-99.104516
155,Culhuacán,12,STC1211,19.336846,-99.108959
156,Atlalilco,12,STC1212,19.352754,-99.106243
157,Mexicaltzingo,12,STC1213,19.357763,-99.123143
158,Ermita,12,STC1214,19.359824,-99.141631
159,Eje Central,12,STC1215,19.361341,-99.151423
160,Parque de los Venados,12,STC1216,19.370659,-99.158718
161,Zapata,12,STC1217,19.370845,-99.165599
162,Hospital 20 de Noviembre,12,STC1218,19.372013,-99.170884
163,Insurgentes Sur,12,STC1219,19.373553,-99.17825
164,Mixcoac,12,STC1220,19.375699,-99.186731
165,Pantitlán,A,STCLA01,19.415298,-99.071923
166,Agrícola Oriental,A,STCLA02,19.404619,-99.069566
167,Canal de San Juan,A,STCLA03,19.398763,-99.059423
168,Tepalcates,A,STCLA04,19.391276,-99.046329
169,Guelatao,A,STCLA05,19.385154,-99.03566
170,Peñón Viejo,A,STCLA06,19.373305,-99.017055
171,Acatitla,A,STCLA07,19.364717,-99.005673
172,Santa Marta,A,STCLA08,19.360305,-98.995178
173,Los Reyes,A,STCLA09,19.359037,-98.976867
174,La Paz,A,STCLA10,19.350562,-98.960937
175,Buenavista,B,STCLB01,19.446186,-99.152351
176,Guerrero,B,STCLB02,19.445145,-99.146139
177,Garibaldi/Lagunilla,B,STCLB03,19.44389,-99.137866
178,Lagunilla,B,STCLB04,19.44322,-99.13023
179,Tepito,B,STCLB05,19.442789,-99.124067
180,Morelos,B,STCLB06,19.439167,-99.119569
181,San Lázaro,B,STCLB07,19.432371,-99.112961
182,Ricardo Flores Magón,B,STCLB08,19.436565,-99.103709
183,Romero Rubio,B,STCLB09,19.440835,-99.094202
184,Oceanía,B,STCLB10,19.445695,-99.087217
185,Deportivo Oceanía,B,STCLB11,19.451011,-99.079334
186,Bosque de Aragón,B,STCLB12,19.458095,-99.069289
187,Villa de Aragón,B,STCLB13,19.461671,-99.061382
188,Nezahualcóyotl,B,STCLB14,19.472886,-99.054613
189,Impulsora,B,STCLB15,19.485753,-99.048957
190,Río de los Remedios,B,STCLB16,19.490689,-99.046787
191,Múzquiz,B,STCLB17,19.50149,-99.042067
192,Ecatepec,B,STCLB18,19.515125,-99.036069
193,Olímpica,B,STCLB19,19.521345,-99.033342
194,Plaza Aragón,B,STCLB20,19.528476,-99.030185
195,Ciudad Azteca,B,STCLB21,19.534513,-99.02751
